Ute oppe	temp	4.6	2015-03-02 11:14:38
Ute oppe	humidity	85	2015-03-02 11:14:38
Ute	temp	5.2	2015-03-02 11:24:28
Ute oppe	temp	5.0	2015-03-02 11:25:02
Ute oppe	humidity	83	2015-03-02 11:25:02
Ute	temp	7.9	2015-03-02 11:34:52
Ute oppe	temp	5.3	2015-03-02 11:35:26
Ute oppe	humidity	82	2015-03-02 11:35:26
Ute	temp	4.3	2015-03-02 11:45:16
Ute oppe	temp	5.1	2015-03-02 11:45:50
Ute oppe	humidity	80	2015-03-02 11:45:50
Ute	temp	4.7	2015-03-02 11:55:40
Ute oppe	temp	5.3	2015-03-02 11:56:15
Ute oppe	humidity	79	2015-03-02 11:56:15
Ute	temp	6.9	2015-03-02 12:06:04
Ute oppe	temp	5.7	2015-03-02 12:06:39
Ute oppe	humidity	77	2015-03-02 12:06:39
Ute	temp	4.7	2015-03-02 12:16:28
Ute oppe	temp	5.6	2015-03-02 12:17:02
Ute oppe	humidity	77	2015-03-02 12:17:02
Ute	temp	5.2	2015-03-02 12:26:51
Ute oppe	temp	5.8	2015-03-02 12:27:26
Ute oppe	humidity	76	2015-03-02 12:27:26
Ute	temp	5.7	2015-03-02 12:37:15
Ute oppe	temp	6.0	2015-03-02 12:37:50
Ute oppe	humidity	75	2015-03-02 12:37:50
Ute	temp	5.9	2015-03-02 12:47:39
Ute oppe	temp	6.3	2015-03-02 12:48:14
Ute oppe	humidity	74	2015-03-02 12:48:14
Ute	temp	5.3	2015-03-02 12:58:03
Ute oppe	temp	6.3	2015-03-02 12:58:38
Ute oppe	humidity	73	2015-03-02 12:58:38
Ute	temp	4.9	2015-03-02 13:08:27
Ute oppe	temp	6.2	2015-03-02 13:09:02
Ute oppe	humidity	72	2015-03-02 13:09:02
Ute	temp	4.6	2015-03-02 13:18:53
Ute oppe	temp	6.0	2015-03-02 13:19:26
Ute oppe	humidity	72	2015-03-02 13:19:26
Ute	temp	5.0	2015-03-02 13:29:15
Ute oppe	temp	6.1	2015-03-02 13:29:50
Ute oppe	humidity	72	2015-03-02 13:29:50
Ute	temp	4.3	2015-03-02 13:39:39
Ute oppe	temp	6.0	2015-03-02 13:40:14
Ute oppe	humidity	72	2015-03-02 13:40:14
Ute	temp	4.2	2015-03-02 13:50:03
Ute oppe	temp	5.7	2015-03-02 13:50:38
Ute oppe	humidity	72	2015-03-02 13:50:38
Ute	temp	3.7	2015-03-02 14:00:27
Ute oppe	temp	5.3	2015-03-02 14:01:03
Ute oppe	humidity	73	2015-03-02 14:01:03
Ute	temp	3.6	2015-03-02 14:10:51
Ute oppe	temp	4.8	2015-03-02 14:11:26
Ute oppe	humidity	75	2015-03-02 14:11:26
Ute	temp	3.7	2015-03-02 14:21:15
Ute oppe	temp	5.1	2015-03-02 14:21:50
Ute oppe	humidity	75	2015-03-02 14:21:50
Ute	temp	3.6	2015-03-02 14:31:40
Ute oppe	temp	4.6	2015-03-02 14:32:14
Ute oppe	humidity	76	2015-03-02 14:32:14
Ute	temp	4.3	2015-03-02 14:42:03
Ute oppe	temp	5.1	2015-03-02 14:42:38
Ute oppe	humidity	77	2015-03-02 14:42:38
Ute	temp	4.2	2015-03-02 14:52:29
Ute oppe	temp	5.1	2015-03-02 14:42:38
Ute oppe	humidity	77	2015-03-02 14:42:38
Ute	temp	4.2	2015-03-02 14:52:29
Ute oppe	temp	5.3	2015-03-02 14:53:02
Ute oppe	humidity	76	2015-03-02 14:53:02
